"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","provincial_capital"
"13","Nooristan","نورستان","نورستان","1308","08","BARGUMTAL","BARGUMTAL","برگ متال","NO"
"14","Badakhshan","بدخشان","بدخشان","1401","01","FAIZ ABAD","FAIZ ABAD","مرکزبدخشان - فیض آباد","YES"
"14","Badakhshan","بدخشان","بدخشان","1402","02","YAFTAL PAYAN","YAFTAL PAYAN","یفتل سفلی","NO"
"14","Badakhshan","بدخشان","بدخشان","1403","03","URGO","URGO","ارگو","NO"
"14","Badakhshan","بدخشان","بدخشان","1404","04","DARAYEM","DARAYEM","درایم","NO"
"14","Badakhshan","بدخشان","بدخشان","1405","05","KHASH","KHASH","خاش","NO"
"14","Badakhshan","بدخشان","بدخشان","1406","06","JURM","JURM","جرم","NO"
"14","Badakhshan","بدخشان","بدخشان","1407","07","WARDOUJ","WARDOUJ","وردوج","NO"
"14","Badakhshan","بدخشان","بدخشان","1408","08","BAHARAK (BADAKHSHAN)","BAHARAK (BADAKHSHAN)","بهارک","NO"
"14","Badakhshan","بدخشان","بدخشان","1409","09","SHUHADA","SHUHADA","شهدا","NO"
"14","Badakhshan","بدخشان","بدخشان","1410","10","KOHISTAN (BADAKHSHAN)","KOHISTAN (BADAKHSHAN)","کوهستان","NO"
"14","Badakhshan","بدخشان","بدخشان","1411","11","YAWAN","YAWAN","یاوان","NO"
"14","Badakhshan","بدخشان","بدخشان","1412","12","SHAHR-E-BUZURG","SHAHR-E-BUZURG","شهربزرگ","NO"
"14","Badakhshan","بدخشان","بدخشان","1413","13","KISHM","KISHM","کشم","NO"
"14","Badakhshan","بدخشان","بدخشان","1414","14","TAGAB (KESHM BALA)","TAGAB (KESHM BALA)","تگاب","NO"
"14","Badakhshan","بدخشان","بدخشان","1415","15","TASHKAN","TASHKAN","تشکان","NO"
"14","Badakhshan","بدخشان","بدخشان","1416","16","KARAN-O-MENJAN","KARAN-O-MENJAN","کران و منجان","NO"
"14","Badakhshan","بدخشان","بدخشان","1417","17","ZEBAK","ZEBAK","زیباک","NO"
"14","Badakhshan","بدخشان","بدخشان","1418","18","ESHKASHAM","ESHKASHAM","اشکاشم","NO"
