"province_code","province_code_2018","province_name_eng","province_name_dari","province_name_pashto","district_code","provincial_capital","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","pc_code","pc_location","pc_location_dari","ps_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101065","shahrara,muhammad alam faizad high school","شهرارا, ليسه محمد علم فيض زاد",5,3,2,0,4800,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101066","shahrara,haaji ghulam dastagir masque","شهرارا, مسجد حاجي غلام دستگير",5,3,2,0,4000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101067","shahri now,khwaja ali mowfaq masque","شهر نو, مسجد خواجه علي موفق",4,2,2,0,3000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101068"," Altaqwa Private High School, Taimani.  ","لیسه خصوصی التقوی، تایمنی",5,3,2,0,3800,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 4","کابل ناحیه (4)","0101069","tank til shahri now,khwaja abdulah ansari masque","تانک تيل شهر نو, مسجد خواجه عبدالله انصاري",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101070","abrasani,fazalbik sacandary school","آب رساني, مکتب متوسطه فضل بيک",6,4,2,0,6300,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101071","afshar,jaghoori haa masque","افشار, مسجد جاغوري ها",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101072","afshar silo,sahib zaman maque","افشار سيلو, مسجد صاحب زمان",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101073","bazar company,qala kashif high school","بازار کمپني, ليسه قلعه کاشف",6,4,2,0,7200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101074","Niswan Wahdat. ","نسوان وحدت",7,5,2,0,6700,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101075"," Imam Husain Masjid ","مسجد امام حسین",4,3,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101076","now abad qargha,ayob sabir masque","نو آباد قرغه, مسجد ايوب صابر",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101077","politechnic,politechnic masque","پولي تخنيک, مسجد پولي تخنيک",6,4,2,0,5300,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101078"," Zayed Bin Haris. ","زیاد بن حارث",7,2,0,5,5000,"ډیر د کوچیانو محلات لری "
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101079","qala toofan,itafaq masque","قلعه طوفان, مسجد اتفاق",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101080","qala wahid,muhammadi paghmani haa masque","قلعه واحد, مسجد محمدي پغمانيها",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101081","qargha,shah awleya masque","قرغه, مسجد شاه اوليا",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101082","qargha,deh araban school","قرغه, مکتب ده عربان",6,4,2,0,4800,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101083","fazil bik,hazrat osman masque","قريه فضل بيک, مسجد حضرت عثمان",3,2,1,0,2000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101084","Changed from Haji Yaqub to Masjid Haji Syed Rahman ","از قريه نياز بيک, مسجد حاجي يعقوب به مسجد حاجی سید رحمن تبدیل شده است",3,0,2,1,2400,"ډیر د کوچیانو محلات لری "
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101085","wardaki haa vilage,shaheed masque","قريه وردکيها, مسجد شهيد",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101086","part(A)khoshal mina,afshar sacandary school","قسمت الف خوشحال مينه, مکتب متوسطه افشار",8,5,3,0,7500,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101087","part(A)khoshal mina,afshar girls high school","قسمت الف خوشحال مينه, ليسه نسوان افشار",9,6,3,0,8000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 5","کابل ناحیه (5)","0101088","part(A)khoshal mina,8class khosha mina","قسمت الف خوشحال مينه, مکتب هشت صنفي خوشحال مينه",3,2,1,0,2000,""
