"electorate","province_code","district_code","district_number","pc_code","pc_number","ps_code","ps_type","prelim_reporting"
"General","01","0101","01","0101084","084","0101084-02","F","YES"
"General","01","0101","01","0101085","085","0101085-01","M","YES"
"General","01","0101","01","0101085","085","0101085-02","F","YES"
"General","01","0101","01","0101086","086","0101086-01","M","YES"
"General","01","0101","01","0101086","086","0101086-02","M","YES"
"General","01","0101","01","0101086","086","0101086-03","M","YES"
"General","01","0101","01","0101086","086","0101086-04","M","YES"
"General","01","0101","01","0101086","086","0101086-05","M","YES"
"General","01","0101","01","0101086","086","0101086-06","F","YES"
"General","01","0101","01","0101086","086","0101086-07","F","YES"
"General","01","0101","01","0101086","086","0101086-08","F","YES"
"General","01","0101","01","0101087","087","0101087-01","M","YES"
"General","01","0101","01","0101087","087","0101087-02","M","YES"
"General","01","0101","01","0101087","087","0101087-04","M","YES"
"General","01","0101","01","0101087","087","0101087-05","M","YES"
"General","01","0101","01","0101087","087","0101087-06","M","YES"
"General","01","0101","01","0101087","087","0101087-07","F","YES"
"General","01","0101","01","0101087","087","0101087-08","F","YES"
"General","01","0101","01","0101087","087","0101087-09","F","YES"
"General","01","0101","01","0101089","089","0101089-01","M","YES"
"General","01","0101","01","0101089","089","0101089-02","M","YES"
"General","01","0101","01","0101089","089","0101089-03","M","YES"
"General","01","0101","01","0101089","089","0101089-04","M","YES"
"General","01","0101","01","0101089","089","0101089-05","M","YES"
"General","01","0101","01","0101089","089","0101089-06","M","YES"
"General","01","0101","01","0101089","089","0101089-07","F","YES"
"General","01","0101","01","0101089","089","0101089-08","F","YES"
"General","01","0101","01","0101090","090","0101090-01","M","YES"
"General","01","0101","01","0101090","090","0101090-02","F","YES"
"General","01","0101","01","0101091","091","0101091-01","M","YES"
"General","01","0101","01","0101091","091","0101091-02","M","YES"
"General","01","0101","01","0101091","091","0101091-03","M","YES"
"General","01","0101","01","0101091","091","0101091-04","F","YES"
"General","01","0101","01","0101091","091","0101091-05","F","YES"
"General","01","0101","01","0101092","092","0101092-01","M","YES"
"General","01","0101","01","0101092","092","0101092-02","M","YES"
"General","01","0101","01","0101092","092","0101092-03","F","YES"
"General","01","0101","01","0101093","093","0101093-01","M","YES"
"General","01","0101","01","0101093","093","0101093-02","M","YES"
"General","01","0101","01","0101093","093","0101093-03","F","YES"
"General","01","0101","01","0101094","094","0101094-02","M","YES"
"General","01","0101","01","0101094","094","0101094-03","M","YES"
"General","01","0101","01","0101094","094","0101094-04","M","YES"
"General","01","0101","01","0101094","094","0101094-05","M","YES"
"General","01","0101","01","0101094","094","0101094-06","M","YES"
"General","01","0101","01","0101094","094","0101094-07","F","YES"
"General","01","0101","01","0101094","094","0101094-08","F","YES"
"General","01","0101","01","0101094","094","0101094-09","F","YES"
"General","01","0101","01","0101095","095","0101095-01","M","YES"
"General","01","0101","01","0101095","095","0101095-02","M","YES"
"General","01","0101","01","0101095","095","0101095-03","M","YES"
"General","01","0101","01","0101095","095","0101095-04","F","YES"
"General","01","0101","01","0101095","095","0101095-05","F","YES"
"General","01","0101","01","0101096","096","0101096-01","M","YES"
"General","01","0101","01","0101096","096","0101096-02","M","YES"
"General","01","0101","01","0101096","096","0101096-03","M","YES"
"General","01","0101","01","0101096","096","0101096-04","F","YES"
