"province_code","district_code","pc_code","ps_code","ps_number","ps_station_type"
"01","0101","0101110","0101110-02","02","M"
"01","0101","0101110","0101110-03","03","F"
"01","0101","0101110","0101110-04","04","F"
"01","0101","0101111","0101111-01","01","M"
"01","0101","0101111","0101111-02","02","M"
"01","0101","0101111","0101111-03","03","M"
"01","0101","0101111","0101111-04","04","F"
"01","0101","0101111","0101111-05","05","F"
"01","0101","0101112","0101112-01","01","M"
"01","0101","0101112","0101112-02","02","M"
"01","0101","0101112","0101112-03","03","M"
"01","0101","0101112","0101112-04","04","M"
"01","0101","0101112","0101112-05","05","F"
"01","0101","0101112","0101112-06","06","F"
"01","0101","0101113","0101113-01","01","M"
"01","0101","0101113","0101113-02","02","M"
"01","0101","0101113","0101113-03","03","M"
"01","0101","0101113","0101113-04","04","M"
"01","0101","0101113","0101113-05","05","F"
"01","0101","0101113","0101113-06","06","F"
"01","0101","0101114","0101114-01","01","M"
"01","0101","0101114","0101114-02","02","M"
"01","0101","0101114","0101114-03","03","M"
"01","0101","0101114","0101114-04","04","F"
"01","0101","0101114","0101114-05","05","F"
"01","0101","0101115","0101115-01","01","M"
"01","0101","0101115","0101115-02","02","M"
"01","0101","0101115","0101115-03","03","M"
"01","0101","0101115","0101115-04","04","F"
"01","0101","0101115","0101115-05","05","F"
"01","0101","0101116","0101116-01","01","M"
"01","0101","0101116","0101116-02","02","M"
"01","0101","0101116","0101116-03","03","M"
"01","0101","0101116","0101116-04","04","F"
"01","0101","0101116","0101116-05","05","F"
"01","0101","0101117","0101117-01","01","M"
"01","0101","0101117","0101117-02","02","M"
"01","0101","0101117","0101117-03","03","F"
"01","0101","0101118","0101118-01","01","M"
"01","0101","0101118","0101118-02","02","M"
"01","0101","0101118","0101118-03","03","M"
"01","0101","0101118","0101118-04","04","M"
"01","0101","0101118","0101118-05","05","M"
"01","0101","0101118","0101118-06","06","M"
"01","0101","0101118","0101118-07","07","F"
"01","0101","0101118","0101118-08","08","F"
