"province_code","district_code","pc_code","ps_code"
"01","0101","0101141","0101141-04"
"01","0101","0101142","0101142-01"
"01","0101","0101142","0101142-02"
"01","0101","0101142","0101142-03"
"01","0101","0101142","0101142-04"
"01","0101","0101142","0101142-05"
"01","0101","0101142","0101142-06"
"01","0101","0101143","0101143-01"
"01","0101","0101143","0101143-02"
"01","0101","0101143","0101143-03"
"01","0101","0101143","0101143-04"
"01","0101","0101143","0101143-05"
"01","0101","0101144","0101144-01"
"01","0101","0101144","0101144-02"
"01","0101","0101144","0101144-03"
"01","0101","0101144","0101144-04"
"01","0101","0101144","0101144-05"
"01","0101","0101144","0101144-06"
"01","0101","0101144","0101144-07"
"01","0101","0101145","0101145-01"
"01","0101","0101145","0101145-02"
"01","0101","0101145","0101145-03"
"01","0101","0101145","0101145-04"
"01","0101","0101146","0101146-01"
"01","0101","0101146","0101146-02"
"01","0101","0101146","0101146-03"
"01","0101","0101146","0101146-04"
"01","0101","0101148","0101148-01"
"01","0101","0101148","0101148-02"
"01","0101","0101148","0101148-03"
"01","0101","0101148","0101148-04"
"01","0101","0101148","0101148-05"
"01","0101","0101148","0101148-06"
"01","0101","0101149","0101149-01"
"01","0101","0101149","0101149-02"
"01","0101","0101149","0101149-03"
"01","0101","0101150","0101150-01"
"01","0101","0101150","0101150-02"
"01","0101","0101150","0101150-03"
"01","0101","0101150","0101150-04"
"01","0101","0101151","0101151-01"
"01","0101","0101151","0101151-02"
"01","0101","0101151","0101151-03"
"01","0101","0101151","0101151-04"
"01","0101","0101151","0101151-05"
"01","0101","0101151","0101151-06"
"01","0101","0101151","0101151-07"
"01","0101","0101151","0101151-08"
"01","0101","0101151","0101151-09"
"01","0101","0101151","0101151-10"
"01","0101","0101152","0101152-01"
"01","0101","0101152","0101152-02"
"01","0101","0101152","0101152-03"
"01","0101","0101152","0101152-04"
"01","0101","0101152","0101152-05"
"01","0101","0101153","0101153-01"
"01","0101","0101153","0101153-02"
"01","0101","0101153","0101153-03"
"01","0101","0101153","0101153-04"
"01","0101","0101153","0101153-05"
"01","0101","0101153","0101153-06"
"01","0101","0101154","0101154-01"
"01","0101","0101154","0101154-02"
"01","0101","0101154","0101154-03"
"01","0101","0101154","0101154-04"
"01","0101","0101154","0101154-05"
"01","0101","0101154","0101154-06"
"01","0101","0101154","0101154-07"
"01","0101","0101154","0101154-08"
"01","0101","0101154","0101154-09"
"01","0101","0101154","0101154-10"
"01","0101","0101154","0101154-11"
"01","0101","0101154","0101154-12"
"01","0101","0101154","0101154-13"
"01","0101","0101155","0101155-01"
"01","0101","0101155","0101155-02"
"01","0101","0101155","0101155-03"
"01","0101","0101155","0101155-04"
"01","0101","0101155","0101155-05"
"01","0101","0101155","0101155-06"
"01","0101","0101156","0101156-01"
"01","0101","0101157","0101157-01"
"01","0101","0101157","0101157-02"
"01","0101","0101157","0101157-03"
"01","0101","0101157","0101157-04"
"01","0101","0101157","0101157-05"
"01","0101","0101157","0101157-06"
"01","0101","0101157","0101157-07"
"01","0101","0101158","0101158-01"
"01","0101","0101159","0101159-01"
"01","0101","0101159","0101159-02"
"01","0101","0101159","0101159-03"
"01","0101","0101159","0101159-04"
"01","0101","0101159","0101159-05"
"01","0101","0101160","0101160-01"
"01","0101","0101161","0101161-01"
"01","0101","0101161","0101161-02"
"01","0101","0101161","0101161-03"
"01","0101","0101161","0101161-04"
"01","0101","0101161","0101161-05"
"01","0101","0101162","0101162-01"
"01","0101","0101162","0101162-02"
"01","0101","0101162","0101162-03"
"01","0101","0101162","0101162-04"
"01","0101","0101163","0101163-01"
"01","0101","0101163","0101163-02"
"01","0101","0101163","0101163-03"
"01","0101","0101163","0101163-04"
"01","0101","0101164","0101164-01"
"01","0101","0101164","0101164-02"
"01","0101","0101164","0101164-03"
"01","0101","0101164","0101164-04"
"01","0101","0101164","0101164-05"
"01","0101","0101165","0101165-01"
"01","0101","0101165","0101165-02"
"01","0101","0101165","0101165-03"
"01","0101","0101165","0101165-04"
"01","0101","0101165","0101165-05"
"01","0101","0101165","0101165-06"
"01","0101","0101165","0101165-07"
"01","0101","0101165","0101165-08"
"01","0101","0101166","0101166-01"
"01","0101","0101166","0101166-02"
"01","0101","0101166","0101166-03"
"01","0101","0101166","0101166-04"
"01","0101","0101166","0101166-05"
"01","0101","0101166","0101166-06"
"01","0101","0101167","0101167-01"
"01","0101","0101167","0101167-02"
"01","0101","0101167","0101167-03"
"01","0101","0101167","0101167-04"
"01","0101","0101167","0101167-05"
"01","0101","0101168","0101168-01"
"01","0101","0101168","0101168-02"
"01","0101","0101168","0101168-03"
"01","0101","0101168","0101168-04"
"01","0101","0101169","0101169-01"
"01","0101","0101169","0101169-02"
"01","0101","0101169","0101169-03"
"01","0101","0101169","0101169-04"
"01","0101","0101169","0101169-05"
"01","0101","0101170","0101170-01"
"01","0101","0101170","0101170-02"
"01","0101","0101170","0101170-03"
"01","0101","0101170","0101170-04"
"01","0101","0101170","0101170-05"
"01","0101","0101171","0101171-01"
"01","0101","0101171","0101171-02"
"01","0101","0101171","0101171-03"
"01","0101","0101171","0101171-04"
"01","0101","0101171","0101171-05"
"01","0101","0101172","0101172-01"
"01","0101","0101172","0101172-02"
"01","0101","0101172","0101172-03"
"01","0101","0101172","0101172-04"
"01","0101","0101173","0101173-01"
"01","0101","0101173","0101173-02"
"01","0101","0101173","0101173-03"
"01","0101","0101173","0101173-04"
"01","0101","0101173","0101173-05"
"01","0101","0101173","0101173-06"
"01","0101","0101173","0101173-07"
"01","0101","0101173","0101173-08"
"01","0101","0101173","0101173-09"
"01","0101","0101173","0101173-10"
"01","0101","0101174","0101174-01"
"01","0101","0101174","0101174-02"
"01","0101","0101174","0101174-03"
"01","0101","0101174","0101174-04"
"01","0101","0101174","0101174-05"
"01","0101","0101174","0101174-06"
"01","0101","0101174","0101174-07"
"01","0101","0101174","0101174-08"
"01","0101","0101174","0101174-09"
"01","0101","0101174","0101174-10"
"01","0101","0101174","0101174-11"
"01","0101","0101174","0101174-12"
"01","0101","0101175","0101175-01"
"01","0101","0101175","0101175-02"
"01","0101","0101175","0101175-03"
"01","0101","0101175","0101175-04"
"01","0101","0101175","0101175-05"
"01","0101","0101175","0101175-06"
"01","0101","0101175","0101175-07"
"01","0101","0101175","0101175-08"
"01","0101","0101175","0101175-09"
"01","0101","0101175","0101175-10"
"01","0101","0101176","0101176-01"
