"pc_code","prelim_results_status","province_name","province_code","district_name","district_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"0623354","Not Reporting","NANGARHAR","06","SPIN GHAR","0623","Morgii Mosque","Morgai Kalai",NA,"added",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0623356","Not Reporting","NANGARHAR","06","SPIN GHAR","0623","Momand Clinic","Showkanai",NA,"added",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0704094","Not Reporting","LAGHMAN","07","ALINGAR","0704"," Sanderwa School","Sanderwa","Relocated","no change",420,43,18,0,1,0,0,9,15,372,320,52,5,0,325,52,377
"0705109","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Mosque","Gadyalah","Not Assessed","no change",384,24,9,0,5,0,0,6,4,360,278,82,0,0,278,82,360
"0705111","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Mosque","Kasheedor ","Not Assessed","no change",666,97,18,0,12,0,0,27,40,565,515,50,4,0,519,50,569
"0705112","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," New Bala Deh School","New Bala Deh","Not Assessed","no change",1056,86,12,0,13,0,0,24,37,870,753,117,100,0,851,119,970
"0705113","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Keel Mosque","Keel","Old","no change",1116,75,35,0,7,0,0,30,3,1041,599,442,0,0,599,442,1041
"0705114","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Neel Khan Mosque","Neel Khan","Old","no change",948,68,22,0,13,0,0,21,12,880,880,0,0,0,880,0,880
"0705116","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Karak Mosque","Karak","Old","no change",1602,84,19,0,16,0,0,14,35,1518,780,738,0,0,780,738,1518
"0705117","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Chashdar School","Chashdar","Old","no change",420,113,13,0,87,0,0,5,8,307,179,128,0,0,179,128,307
"0705118","Not Reporting","LAGHMAN","07","DAWLATSHAH","0705"," Sang Peetak School","Sang Peetak","New","no change",744,53,21,0,8,0,0,1,23,691,377,314,0,0,377,314,691
