"province_code","province_name_eng","district_code","district_name_eng","district_or_subdivision_name","provincial_capital","pc_code","pc_name_eng","pc_location","ps_count","prelim_results_status","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101091","Shah E Welayat Ma'ab Mosque","Afshar Darul Aman",4,"Reporting","Old","no change",2022,81,29,0,7,0,0,19,26,1920,1209,711,21,0,1222,719,1941
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101092","Qalla e Bakhtyar High School","Nawabad Qalla e Bakhtyar",6,"Reporting","Relocated","no change",3540,155,38,0,13,0,0,31,73,3377,2208,1169,8,0,2210,1175,3385
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101094","Finance and Accounting Institute (Mali wa Hesabi *","Darulaman",4,"Reporting","Old","no change",2076,89,25,0,17,0,0,19,28,1983,1408,575,4,0,1412,575,1987
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101095","Jafaria Mosque","Alauddin",2,"Reporting","Old","no change",2166,90,26,0,26,0,0,8,30,2076,1091,985,0,0,1091,985,2076
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101096","Mohammadia Mosque","Kart e seh(3)",1,"Reporting","Old","no change",3288,144,54,0,19,0,0,24,47,3135,2199,936,9,0,2207,937,3144
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101097","Abdul Ghani Mostaghni High School","Kart e seh(3)",2,"Reporting","Old","no change",1524,66,40,0,2,0,0,9,15,1456,1046,410,2,0,1048,410,1458
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101099","Resalat Madrassah","Qalla e Wazir",6,"Reporting","Old","no change",3516,129,37,0,24,0,0,23,45,3387,1756,1631,0,0,1756,1631,3387
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101100","Safed Mosque (White Mosque)","Qalla e Wazir",8,"Reporting","Old","no change",4662,134,15,0,14,0,0,33,72,4525,2201,2324,3,0,2203,2325,4528
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101101","Ahmadi Mosque","Dash hai Haji Hussain",6,"Reporting","Old","no change",5730,190,19,0,27,0,0,58,86,5540,3461,2079,0,0,3461,2079,5540
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101102","Wahdat Takya Khanahh","Pul e Wahdat",5,"Reporting","Old","no change",2688,96,43,0,7,0,0,12,34,2591,1516,1075,1,0,1516,1076,2592
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101103","Ummul Baneen High School","Qalla e Shahadah",6,"Reporting","Old","no change",3918,157,27,0,21,0,0,26,83,3761,2003,1758,0,0,2003,1758,3761
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101104","Jamia Al Islam Madrassah","Pul e Sukhta",4,"Reporting","Old","no change",1632,84,35,0,6,0,0,7,36,1547,717,830,1,0,717,831,1548
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101105","Wali Aser Jame Mosque","Markaz e Telegraph (Telegraph center)",1,"Reporting","Relocated","no change",2232,93,24,0,7,0,0,19,43,2139,1175,964,0,0,1175,964,2139
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101106","Mohammad Asef Mael High School","Qalla e Nazer",4,"Reporting","Old","no change",2154,95,36,0,27,0,0,12,20,2059,1314,745,0,0,1314,745,2059
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101109","Hazrat e Rasoul Mosque","Nawabad Qalla e Jabar Khan",2,"Reporting","Old","no change",1266,46,22,0,6,0,0,7,11,1219,592,627,1,0,593,627,1220
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101110","Nabi Akram Mosque","Phase-III, Shahrak Hji Nabi",7,"Reporting","Old","no change",3714,80,32,0,6,0,0,18,24,3629,2340,1289,5,0,2345,1289,3634
