"province_code","candidate_name_eng","candidate_gender"
"19","Dr. Sayed Nasir Hussaini","Male"
"19","Hajji Abdul Salam Telayee","Male"
"19"," Qari Najeebullah","Male"
"19","Dr. Sayed Shir Muhammad Ahadi","Male"
"19","Muhammad Azim Hamid","Male"
"19","Abdul Baqi","Male"
"19","Zabit Muhammad Karim","Male"
"19","Maulana Abdul Basir Baharwi","Male"
"19"," Hamidullah Uzbik Sakhiyaar","Male"
"20"," Hajji Muhammad Makhi Bay","Male"
"20","Hamid Azizi","Male"
"21","Qazi Suraya","Female"
"21","Mir Alam Nasratyar","Male"
"21","Ustad Chaman Hamidi","Female"
"21","Dr. Shukria","Female"
"22","Sayed Nadir Sadat","Male"
"22"," Hajji Juma Khan","Male"
"22","Ghulam Sakhi Sulayman","Male"
"22","Sayed Abdul Salam Nahzat","Male"
"23","Zemaray Mushkwani","Male"
"24","Hajji Ahmad Dawoud Haidari","Male"
"24","Muhammad Zahir Sherzoy","Male"
"24","Eng. Hameedullah Qaisani","Male"
"24","Eng. Mujtaba Sadiqi","Male"
"24","Abdul Hakeem Hashimi","Male"
"24","Hajji Muhammad Ghaus Ahrari","Male"
"25"," Najeeb Khan","Male"
"25","Muhammad Dawoud Nayel","Male"
"26","Mir Ghulam Muhammad Anar Daragi ","Male"
"27"," Wakel Hajji Talib","Male"
"27","Hajji Abdul Aziz Khuram","Male"
"28","Farishta Afghan","Female"
"29","Torpikay Sulayman Khil","Female"
"29","Hamidullah Tukhi","Male"
