"province_code","district_code","pc_code","ps_code","prelim_reporting","final_reporting"
"01","0101","0101110","0101110-03","YES","YES"
"01","0101","0101110","0101110-04","YES","YES"
"01","0101","0101110","0101110-05","YES","NO"
"01","0101","0101110","0101110-06","YES","NO"
"01","0101","0101110","0101110-07","YES","NO"
"01","0101","0101112","0101112-01","YES","YES"
"01","0101","0101112","0101112-02","YES","YES"
"01","0101","0101112","0101112-03","YES","YES"
"01","0101","0101113","0101113-01","YES","YES"
"01","0101","0101113","0101113-02","YES","YES"
"01","0101","0101113","0101113-03","YES","YES"
"01","0101","0101113","0101113-04","YES","YES"
"01","0101","0101113","0101113-05","YES","YES"
"01","0101","0101114","0101114-01","YES","YES"
"01","0101","0101114","0101114-02","YES","YES"
"01","0101","0101114","0101114-03","YES","YES"
"01","0101","0101114","0101114-04","YES","YES"
"01","0101","0101114","0101114-05","YES","YES"
"01","0101","0101115","0101115-01","YES","YES"
"01","0101","0101115","0101115-02","YES","YES"
"01","0101","0101115","0101115-03","YES","YES"
"01","0101","0101115","0101115-04","YES","YES"
"01","0101","0101115","0101115-05","YES","YES"
"01","0101","0101115","0101115-06","YES","YES"
"01","0101","0101116","0101116-01","YES","NO"
"01","0101","0101116","0101116-02","YES","NO"
"01","0101","0101116","0101116-03","YES","NO"
"01","0101","0101117","0101117-01","YES","NO"
"01","0101","0101117","0101117-02","YES","NO"
"01","0101","0101118","0101118-01","YES","YES"
"01","0101","0101118","0101118-02","YES","YES"
"01","0101","0101118","0101118-03","YES","YES"
"01","0101","0101118","0101118-04","YES","YES"
"01","0101","0101118","0101118-05","YES","YES"
"01","0101","0101118","0101118-06","YES","YES"
"01","0101","0101118","0101118-07","YES","YES"
"01","0101","0101119","0101119-01","YES","YES"
"01","0101","0101119","0101119-02","YES","YES"
"01","0101","0101120","0101120-01","YES","YES"
"01","0101","0101120","0101120-02","YES","YES"
"01","0101","0101120","0101120-03","YES","YES"
"01","0101","0101120","0101120-04","YES","YES"
"01","0101","0101120","0101120-05","YES","YES"
"01","0101","0101121","0101121-01","YES","YES"
"01","0101","0101121","0101121-02","YES","YES"
"01","0101","0101121","0101121-03","YES","YES"
"01","0101","0101121","0101121-04","YES","YES"
"01","0101","0101121","0101121-05","YES","YES"
"01","0101","0101121","0101121-06","YES","YES"
"01","0101","0101121","0101121-07","YES","YES"
"01","0101","0101121","0101121-08","YES","YES"
"01","0101","0101122","0101122-01","YES","YES"
"01","0101","0101122","0101122-02","YES","YES"
"01","0101","0101122","0101122-03","YES","YES"
"01","0101","0101122","0101122-04","YES","YES"
"01","0101","0101122","0101122-05","YES","YES"
"01","0101","0101122","0101122-06","YES","YES"
"01","0101","0101123","0101123-01","YES","YES"
"01","0101","0101123","0101123-02","YES","YES"
"01","0101","0101123","0101123-03","YES","YES"
"01","0101","0101124","0101124-01","YES","YES"
"01","0101","0101124","0101124-02","YES","YES"
"01","0101","0101124","0101124-03","YES","YES"
"01","0101","0101124","0101124-04","YES","YES"
"01","0101","0101124","0101124-05","YES","YES"
"01","0101","0101124","0101124-06","YES","YES"
"01","0101","0101124","0101124-07","YES","YES"
"01","0101","0101125","0101125-01","YES","YES"
"01","0101","0101125","0101125-02","YES","YES"
"01","0101","0101125","0101125-03","YES","YES"
"01","0101","0101125","0101125-04","YES","YES"
"01","0101","0101125","0101125-05","YES","YES"
"01","0101","0101126","0101126-01","YES","YES"
"01","0101","0101126","0101126-02","YES","YES"
"01","0101","0101126","0101126-03","YES","YES"
"01","0101","0101126","0101126-04","YES","YES"
"01","0101","0101126","0101126-05","YES","YES"
"01","0101","0101127","0101127-01","YES","YES"
"01","0101","0101127","0101127-02","YES","YES"
"01","0101","0101127","0101127-03","YES","YES"
"01","0101","0101127","0101127-04","YES","YES"
"01","0101","0101127","0101127-05","YES","YES"
"01","0101","0101127","0101127-06","YES","YES"
"01","0101","0101128","0101128-01","YES","YES"
"01","0101","0101128","0101128-02","YES","YES"
"01","0101","0101128","0101128-03","YES","YES"
"01","0101","0101128","0101128-04","YES","YES"
"01","0101","0101128","0101128-05","YES","YES"
"01","0101","0101128","0101128-06","YES","YES"
"01","0101","0101128","0101128-07","YES","YES"
"01","0101","0101128","0101128-08","YES","YES"
"01","0101","0101128","0101128-09","YES","YES"
"01","0101","0101129","0101129-01","YES","YES"
"01","0101","0101129","0101129-02","YES","YES"
"01","0101","0101129","0101129-03","YES","YES"
"01","0101","0101129","0101129-04","YES","YES"
"01","0101","0101129","0101129-05","YES","YES"
"01","0101","0101129","0101129-06","YES","YES"
"01","0101","0101129","0101129-07","YES","YES"
"01","0101","0101129","0101129-08","YES","YES"
"01","0101","0101130","0101130-01","YES","YES"
"01","0101","0101130","0101130-02","YES","YES"
"01","0101","0101130","0101130-03","YES","YES"
"01","0101","0101130","0101130-04","YES","YES"
"01","0101","0101130","0101130-05","YES","YES"
"01","0101","0101131","0101131-01","YES","YES"
"01","0101","0101131","0101131-02","YES","YES"
"01","0101","0101131","0101131-03","YES","YES"
"01","0101","0101131","0101131-04","YES","YES"
"01","0101","0101132","0101132-01","YES","YES"
"01","0101","0101132","0101132-02","YES","YES"
"01","0101","0101132","0101132-03","YES","YES"
"01","0101","0101132","0101132-04","YES","YES"
"01","0101","0101132","0101132-05","YES","YES"
"01","0101","0101133","0101133-01","YES","YES"
"01","0101","0101133","0101133-02","YES","YES"
"01","0101","0101134","0101134-01","YES","YES"
"01","0101","0101134","0101134-02","YES","YES"
"01","0101","0101134","0101134-03","YES","YES"
"01","0101","0101134","0101134-04","YES","YES"
"01","0101","0101134","0101134-05","YES","YES"
"01","0101","0101134","0101134-06","YES","YES"
"01","0101","0101134","0101134-07","YES","YES"
"01","0101","0101134","0101134-08","YES","YES"
"01","0101","0101135","0101135-01","YES","YES"
"01","0101","0101135","0101135-02","YES","YES"
"01","0101","0101135","0101135-03","YES","YES"
"01","0101","0101135","0101135-04","YES","NO"
"01","0101","0101136","0101136-01","YES","YES"
"01","0101","0101136","0101136-02","YES","YES"
"01","0101","0101136","0101136-03","YES","YES"
"01","0101","0101136","0101136-04","YES","YES"
"01","0101","0101136","0101136-05","YES","YES"
"01","0101","0101136","0101136-06","YES","YES"
"01","0101","0101136","0101136-07","YES","YES"
"01","0101","0101136","0101136-08","YES","YES"
"01","0101","0101136","0101136-09","YES","YES"
"01","0101","0101136","0101136-10","YES","YES"
"01","0101","0101136","0101136-11","YES","YES"
