"province_code","province_name_CSO_421","district_code","district_name_CSO_421","district_name_CSO_OCHA_414","district_name_USFOR_407","district_name_farsi_CSO_421","district_name_pashto_CSO","pop_18_19_421_CSO","pop_18_19_419_CSO","pop_18_19_407_CSO","pop_18_19_399_CSO","pop_16_17_414_CSO-OCHA","pop_16_17_407_CSO-OCHA","pop_16_17_399_CSO-OCHA","pop_Jan_18_407_USFOR","pop_Jan_18_399_USFOR-AGCHO","pop_17_399_iMMAP-AGCHO"
"12","PAKTIKA","1209","Jani Khel","Jani Khel","Jani Khel","جانی خیل","د جانی خيلو ","35611","35611","35611","35611","24882","24882","24882","30000","30000","36700"
"12","PAKTIKA","1210","Surubi","Surubi","Sarobi","سروبی","د سروبی ","37525","37525","37525","37525","12929","12929","12929","15000","15000","19300"
"12","PAKTIKA","1211","Urgoon","Urgoon","Urgun","ارگون","د ارگون ","87454","87454","87454","87454","57326","57326","57326","68000","68000","33000"
"12","PAKTIKA","1212","Ziruk","Ziruk","Ziruk","زیروک","د زيړوک ","38066","38066","38066","38066","20003","20003","20003","23000","23000","12600"
"12","PAKTIKA","1213","Nika","Nika","Nikeh","نیکه","د نيکه ","16458","16458","16458","16458","12929","12929","12929","15000","15000","8780"
"12","PAKTIKA","1214","Barmal","Barmal","Bermal","برمل","د برمل ","74374","74374","74374","74374","36104","36104","36104","44000","44000","69100"
"12","PAKTIKA","1215","Giyan","Giyan","Giyan","گیان","د گيان ","46165","46165","46165","46165","36104","36104","36104","41000","41000","14600"
"12","PAKTIKA","1216","Dila Wa Khushamand","DilaWa Khushamand","Dilah","دیله وخوشا مند","د ديله وخوشا مند ","46211","46211","46211","46211","26102","26102","26102","31000","31000","33900"
"12","PAKTIKA","1217","Wazakhwah","Wazakhwah","Wazah Khwah","وازه خواه","د وازه خواه ","45051","45051","45051","45051","24028","24028","24028","28000","28000","47100"
"12","PAKTIKA","1218","Wormamay","Wormamay","Wur Mamay","ورممی","د وړممی ","21032","21032","21032","21032","3660","3660","3660","4000","4000","48700"
"12","PAKTIKA","1219","Turwo","Turwo","Turwo","تروو","د تروو ","10881","10881","10881","10881","2196","2196","2196","3000","3000","9060"
"13","PAKTIA","1301","Gardez","Paktya Center(Gardez)","Gardez","گردیز","گردیز","92038","92038","92038","92038","87219","87219","87219","104000","104000","144000"
"13","PAKTIA","1302","Ahmadabad","Ahmadabad","Ahmadabad","احمد اباً","د احمد اباُ ","30411","30411","30411","30411","28908","28908","28908","33000","33000","40300"
