2018_IEC_province_code,2012_AGCHO_province_code,2010_IEC_province_code,2010_IEC_district_name_eng,2010_IEC_district_code,2010_IEC_district_code_matched_to_2012_AGCHO_district_code,2010_IEC_district_code_matched_to_2018_IEC_district_code,2012_AGCHO_district_name_eng,2012_AGCHO_district_code,2012_AGCHO_district_code_matched_to_2018_IEC_district_code,2018_IEC_district_name_eng,2018_IEC_district_code,district_name_dari,district_name_pashto,alternate_dari_pashto,district_description_via_Map_Sync_Project
29,28,22,KHAN-E-CHARBAGH,2212,2813,2914,Khan-e-Char Bagh,2813,2914,Khan-e-Char Bagh,2914,خان چهارباغ,خان چارباغ,,"Khani Charbagh, Khan-e-Char Bagh. Khan-e Chahr Bagh, Khan Chahr Bagh."
29,28,22,ANDKHOI,2213,2811,2913,Andkhoy,2811,2913,Andkhoy,2913,اندخوی,اندخوی,,"Andkhoy, Andkhoi."
29,28,22,QURGHAN,2214,2814,2912,Qorghan,2814,2912,Qurghan,2912,قرغان,قرغان,,"Qurghan, Qorghan."
11,11,6,PROVINCIAL CENTER (GHAZNI),601,1101,1101,Ghazni,1101,1101,Ghazni,1101,غزنی,غزنی,,Ghazni.
11,11,6,DAH YAK,602,1106,1105,Dehyak,1106,1105,Dehyak,1105,ده یک,ده يک,,"Deh Yak, Dehyak, Dih Yak."
11,11,6,ZANA KHAN,603,1107,1108,Zanakhan,1107,1108,Zanakhan,1108,زنخان,زنخان,,"Zanakhan, Zana Khan."
11,11,6,KHOWJA OMERY,604,1102,1103,Khwajaumari,1102,1103,Khwaja Umari,1103,خواجه عمری,خواجه عمری,,"Khwaja Omari, Khwajah Omari, Khwajaumari, Khwaja Umari."
11,11,6,RASHIDAN,605,1108,1109,Rashidan,1108,1109,Rashedan,1109,رشیدان,رشيدان,,Rashidan.
11,11,6,SHAHIDM-WALI-KHOGYANI,606,1103,1102,Walimuhammad-e-Shahid,1103,1102,Walemuhammad-e-Shahed,1102,ولی محمدشهید,د ولی محمد شهيد,خوگیانی,"Khugyani, Khogiani, Khoghiani, Wali Muhammad Shahid, Wali Muhammad-e-Shahid .  (There is also a Khugyani in Nangarhar.)"
11,11,6,JAGHATOO,607,1109,1106,Jaghatu,1109,1106,Jaghato,1106,جغتو,جغتو,,"Jaghatu, Jaghato, Jighatu, Bahrami Shahid, Bahram-e Shahid, Waeez Shahid, Wais Shahid.  (There is also a Jaghatu in Wardak province.)"
11,11,6,WAGHAZ,608,1104,1104,Waghaz,1104,1104,Waghaz,1104,واغظ,واغظ,,Waghaz.
