candidate_code,candidate_name_dari,candidate_party_dari,candidate_gender,province_code,province_name_eng,candidate_party_transliterated,candidate_party_eng,notes
1-1076-50,حاجی سکند ر فراجی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1894-143,حاجی سلیم لوگروال,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1001-89,حاجی شفیع هللا غوربندی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1582-118,حاجی شیرشاه حسن زی,مستقل / خپلواک,M,1,Kabul,,Independent,
,حاجی صداقت زاهد,مستقل / خپلواک,M,1,Kabul,,Independent,MISSING
1-1899-1183,حاجی صمیم حیدری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1282-28,حاجی عبدالحسین حسین زاده,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1463-36,حاجی عبدالقاهر کلکانی,مستقل / خپلواک,M,1,Kabul,,Independent,
,حاجی عبدهللا مال برادر,مستقل / خپلواک,M,1,Kabul,,Independent,MISSING
1-1150-39,حاجی عزت هللا نیازی,مستقل / خپلواک,M,1,Kabul,,Independent,
35-1360-155,حاجی عزیز هللا حبیبی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1326-29,حاجی علی میرزائی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1477-12,حاجی غالم معروف صدیقی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1812-2035,حاجی قیوم قمبر ی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1223-100,حاجی محمد داود کلکانی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1313-64,حاجی محمد زمان رجبی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1443-91,حاجی محمد فرهاد صدیقی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1004-14,حاجی محمد مال حمیدی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1534-62,حاجی محمد نواب طوطا خیل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1489-13,حاجی مزمل هوتک,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1750-154,حاجی نورهللا عزیزی میاخیل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1657-76,حاجی هاشم مهدوی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1595-90,حاجی همایون بهار,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1499-3071,حاجی همیشه گل چکری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1320-153,حامد حق دوست,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1174-19,حامد سلطانی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1297-60,حبیب الرحمن سیاف,حزب دعوت اسالمی افغانستان,M,1,Kabul,,,
1-1266-33,حبیب هللا حسام,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1152-35,حبیب هللا ځاځی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1233-189,حبیب هللا عصمتی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1399-63,حبیبه ذکی روهگر,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1732-171,حبیبه قادری,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1766-135,حسن جان دولت زی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1350-81,حضرت یوسف زمری احمدزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1798-2158,حفیظ هللا بارکزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1592-9,حلیمه حسینی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1723-1204,حماسه سادات,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1212-140,حمید هللا ستانکزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1281-67,حمیرا چکری یوسفزی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1695-167,حوا علم نورستانی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1213-174,خاطره اسحق زی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1788-1069,خالد خان غزنوی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1562-13,خالده ادیب,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1162-88,خان آغا رضائی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1392-27,خان محمد خرم,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1605-38,خانعلی رادمند,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1815-140,خسرو خالد,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1828-163,خلیل هللا شینواری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1859-147,خواجه خلیل هللا صدیقیار,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1459-121,خواجه محبوب صدیقی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1474-220,خواجه محمد موسی فریور,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1728-3056,خوږه بابکر خیل,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1847-3055,خوشحال یاری احمدزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1312-49,خیال محمد خپلواک,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1457-96,خیالی جان ساروان,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1829-158,خیرهللا عطائی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1464-69,څارنپوه عنایت هللا کمال,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1194-127,څارنپوه یارمحمد حسین خیل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1530-63,د کتر جعفر مهدوی,حزب ملت افغانستان,M,1,Kabul,,,
1-1547-22,د.وکتور عبدالعلی محمدی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1793-167,داکتر اجمل عازم,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1510-185,داکتر احمد تمیم رحمان,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1606-15,داکتر احمد جاوید عالمی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1573-1089,داکتر اسلم خان میر دادی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1101-178,داکتر بیانی سلیمی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1775-155,داکتر جواد سروش,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1305-89,داکتر رمضان بشردوست,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1063-67,داکتر زهره نوابی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1541-11,داکتر شمس الحق نجیبی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1295-207,داکتر طوبی اعظمی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1624-214,داکتر عبداالحد سهرابی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1206-66,داکتر عبدالرشید جانباز,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1322-27,داکتر عبدالغفور تابان,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1760-162,داکتر فرید هللا صفت,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1253-98,داکتر فریدون نورزاد,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1344-142,داکتر فضل الخالق شجاع,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1110-121,داکتر کریمه کوهستانی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1192-180,داکتر ماری ویدا صفر,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1335-19,داکتر محمد آصف حکمت,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1680-121,داکتر محمد باقر سعیر,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1175-48,داکتر محمد شعور نیازی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1645-1024,داکتر محمد هللا شهیدی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1345-105,داکتر محمد یونس کریمی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1151-60,داکتر مسعوده جالل,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1730-182,داکتر معصومه مرادی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1218-1206,داکتر میر لطیفه بیگ نژاد,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1302-97,داکتر نعمت هللا نعمت,مستقل / خپلواک,M,1,Kabul,,Independent,
35-1696-154,داکترانیسه پشه یی,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1169-30,داکتربنفشه بهار نبی زاده,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1722-145,داکترسید عبدالوهاب رحمانی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1470-160,داکترعاطفه طیب,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1180-43,داکترهما زینت,مستقل / خپلواک,F,1,Kabul,,Independent,
